ccode,predicted_intensity,prob_0,prob_1,prob_2,actual_intensity,origin_year,target_year,horizon
860,0,0.7676276572414258,0.15034495006178678,0.082027392696787,0,2021,2022,1
900,0,0.8173201763288894,0.1412628869281947,0.04141693674291666,0,2021,2022,1
920,0,0.8124207318312173,0.14348513189783424,0.04409413627094926,0,2021,2022,1
940,0,0.7990634676846657,0.1387184396302849,0.06221809268504837,0,2021,2022,1
950,0,0.7245901484534079,0.17937499821484473,0.09603485333174851,0,2021,2022,1
2,0,0.7290212678686939,0.2127061204329274,0.05827261169837949,0,2021,2023,2
20,0,0.8069596555636182,0.1383579112900601,0.05468243314632337,0,2021,2023,2
40,0,0.7137988006769669,0.19377411351406046,0.09242708580897166,0,2021,2023,2
41,0,0.7257837278344568,0.19143039602540168,0.08278587614013916,0,2021,2023,2
42,0,0.7092193794762974,0.20137062187728005,0.08940999864642196,0,2021,2023,2
51,0,0.8800571903431365,0.0948481704576055,0.025094639199257945,0,2021,2023,2
52,0,0.8459184106927633,0.11931457542411357,0.03476701388312392,0,2021,2023,2
70,0,0.7313305520015649,0.1861468396054704,0.08252260839296359,0,2021,2023,2
90,0,0.7167043798948793,0.19585157731803438,0.08744404278708717,0,2021,2023,2
91,0,0.779825239461306,0.1499403228400237,0.07023443769866888,0,2021,2023,2
92,0,0.8168099774385407,0.13450112781046747,0.048688894750989566,0,2021,2023,2
93,0,0.7520124432868863,0.1765776389998747,0.07140991771323695,0,2021,2023,2
94,0,0.8617238783034162,0.10983835097081317,0.02843777072577142,0,2021,2023,2
95,0,0.8333093427268062,0.1258674893640307,0.0408231679091636,0,2021,2023,2
100,1,0.12659354418673846,0.6062591784423788,0.267147277370883,1,2021,2023,2
101,0,0.6621133474080615,0.2179569666302702,0.11992968596166785,0,2021,2023,2
110,0,0.785120437947076,0.14590776633963912,0.06897179571328314,0,2021,2023,2
130,0,0.6993376718447838,0.212674552757972,0.0879877753972436,0,2021,2023,2
135,0,0.7673822955030404,0.1819499233253364,0.05066778117162405,0,2021,2023,2
140,0,0.7173290760556852,0.20145404240744452,0.08121688153686964,0,2021,2023,2
145,0,0.6920483247959845,0.19890004420010904,0.10905163100390566,0,2021,2023,2
150,0,0.8230345370204126,0.12835933863974083,0.04860612433984714,0,2021,2023,2
155,0,0.8246377520205673,0.13190421367283592,0.04345803430659782,0,2021,2023,2
160,0,0.8111937258819498,0.15202922078750128,0.036777053330548495,0,2021,2023,2
165,0,0.8657437971185858,0.10922894213258204,0.025027260748831427,0,2021,2023,2
200,0,0.7479416060247033,0.1891231384615333,0.06293525551376286,0,2021,2023,2
205,0,0.8777326795257083,0.09654365183864004,0.025723668635651117,0,2021,2023,2
210,0,0.841064527271925,0.12005390973371624,0.03888156299435901,0,2021,2023,2
211,0,0.7933773589527425,0.14129207657645332,0.06533056447080278,0,2021,2023,2
225,0,0.8338188455602201,0.11990851806565102,0.046272636374128574,0,2021,2023,2
230,0,0.815962434592123,0.1386806291163724,0.04535693629150522,0,2021,2023,2
235,0,0.850099963076843,0.10874743529390148,0.041152601629256054,0,2021,2023,2
255,0,0.8501982710647947,0.11058600448039808,0.039215724454807685,0,2021,2023,2
290,0,0.8429368414324216,0.11357863388394453,0.04348452468363258,0,2021,2023,2
305,0,0.8359067927772601,0.11837758941461166,0.04571561780812784,0,2021,2023,2
310,0,0.831151356547839,0.12010004443341156,0.04874859901874908,0,2021,2023,2
316,0,0.8422692412365884,0.1122010480248508,0.04552971073856002,0,2021,2023,2
317,0,0.8336849945944883,0.1175514143014692,0.04876359110404217,0,2021,2023,2
325,0,0.8140691135726783,0.13673471552597197,0.04919617090134883,0,2021,2023,2
339,0,0.8511430537037274,0.11492199899163032,0.03393494730464131,0,2021,2023,2
343,0,0.8383744915765747,0.12227232320798073,0.039353185215443974,0,2021,2023,2
344,0,0.8552985485148512,0.11083873942076114,0.03386271206438604,0,2021,2023,2
346,0,0.6844535077308136,0.22063790688208787,0.09490858538709744,0,2021,2023,2
349,0,0.8611797619270406,0.10491459908900065,0.03390563898395795,0,2021,2023,2
350,0,0.8202227706993646,0.12402366212230043,0.055753567178334865,0,2021,2023,2
352,0,0.8634097331642423,0.10226484801273475,0.03432541882302262,0,2021,2023,2
355,0,0.8283873555075276,0.12221152591836276,0.049401118574109205,0,2021,2023,2
359,0,0.8252673770653425,0.13397572538525782,0.04075689754939919,0,2021,2023,2
360,0,0.8221961520474206,0.1238817913554836,0.053922056597095806,0,2021,2023,2
365,1,0.30848960767324624,0.45250423036507614,0.23900616196167643,1,2021,2023,2
366,0,0.8682385944445494,0.10042385270546256,0.03133755284998759,0,2021,2023,2
367,0,0.7873433502893121,0.147507908971773,0.06514874073891284,0,2021,2023,2
368,0,0.8588922069152727,0.10737121912030254,0.03373657396442398,0,2021,2023,2
369,1,0.15388482521420105,0.5225130086811157,0.32360216610468356,0,2021,2023,2
370,0,0.7032643291487308,0.19830093680046457,0.09843473405080307,0,2021,2023,2
371,0,0.7096617785246113,0.198343764211267,0.09199445726411853,0,2021,2023,2
372,0,0.739841293219521,0.18098333920114715,0.07917536757932943,0,2021,2023,2
373,1,0.18347848199671637,0.513151800134286,0.30336971786899575,1,2021,2023,2
375,0,0.8616325522792533,0.10190577068458748,0.036461677036157936,0,2021,2023,2
380,0,0.860146540231284,0.10224752697320484,0.037605932795511256,0,2021,2023,2
385,0,0.850610268675408,0.11022338476848657,0.03916634655610433,0,2021,2023,2
390,0,0.8635105342045365,0.10038397518544563,0.03610549061001829,0,2021,2023,2
402,0,0.8148884267462891,0.13324125085695124,0.05187032239675804,0,2021,2023,2
